YearMonth,Value,Type,Model
1986-08-01,118.0,Train,Actual
1986-09-01,99.0,Train,Actual
1986-10-01,85.0,Train,Actual
1986-11-01,107.0,Train,Actual
1986-12-01,141.0,Train,Actual
1987-01-01,58.0,Train,Actual
1987-02-01,65.0,Train,Actual
1987-03-01,70.0,Train,Actual
1987-04-01,86.0,Train,Actual
1987-05-01,93.0,Train,Actual
1987-06-01,74.0,Train,Actual
1987-07-01,87.0,Train,Actual
1987-08-01,73.0,Train,Actual
1987-09-01,101.0,Train,Actual
1987-10-01,100.0,Train,Actual
1987-11-01,96.0,Train,Actual
1987-12-01,157.0,Train,Actual
1988-01-01,63.0,Train,Actual
1988-02-01,115.0,Train,Actual
1988-03-01,70.0,Train,Actual
1988-04-01,66.0,Train,Actual
1988-05-01,67.0,Train,Actual
1988-06-01,83.0,Train,Actual
1988-07-01,79.0,Train,Actual
1988-08-01,77.0,Train,Actual
1988-09-01,102.0,Train,Actual
1988-10-01,116.0,Train,Actual
1988-11-01,100.0,Train,Actual
1988-12-01,135.0,Train,Actual
1989-01-01,71.0,Train,Actual
1989-02-01,60.0,Train,Actual
1989-03-01,89.0,Train,Actual
1989-04-01,74.0,Train,Actual
1989-05-01,73.0,Train,Actual
1989-06-01,91.0,Train,Actual
1989-07-01,86.0,Train,Actual
1989-08-01,74.0,Train,Actual
1989-09-01,87.0,Train,Actual
1989-10-01,87.0,Train,Actual
1989-11-01,109.0,Train,Actual
1989-12-01,137.0,Train,Actual
1990-01-01,43.0,Train,Actual
1990-02-01,69.0,Train,Actual
1990-03-01,73.0,Train,Actual
1990-04-01,77.0,Train,Actual
1990-05-01,69.0,Train,Actual
1990-06-01,76.0,Train,Actual
1990-07-01,78.0,Train,Actual
1990-08-01,70.0,Train,Actual
1990-09-01,83.0,Train,Actual
1990-10-01,65.0,Train,Actual
1990-11-01,110.0,Train,Actual
1990-12-01,132.0,Train,Actual
1991-01-01,54.0,Test,Actual
1991-02-01,55.0,Test,Actual
1991-03-01,66.0,Test,Actual
1991-04-01,65.0,Test,Actual
1991-05-01,60.0,Test,Actual
1991-06-01,65.0,Test,Actual
1991-07-01,96.0,Test,Actual
1991-08-01,55.0,Test,Actual
1991-09-01,71.0,Test,Actual
1991-10-01,63.0,Test,Actual
1991-11-01,74.0,Test,Actual
1991-12-01,106.0,Test,Actual
1992-01-01,34.0,Test,Actual
1992-02-01,47.0,Test,Actual
1992-03-01,56.0,Test,Actual
1992-04-01,53.0,Test,Actual
1992-05-01,53.0,Test,Actual
1992-06-01,55.0,Test,Actual
1992-07-01,67.0,Test,Actual
1992-08-01,52.0,Test,Actual
1992-09-01,46.0,Test,Actual
1992-10-01,51.0,Test,Actual
1992-11-01,58.0,Test,Actual
1992-12-01,91.0,Test,Actual
1993-01-01,33.0,Test,Actual
1993-02-01,40.0,Test,Actual
1993-03-01,46.0,Test,Actual
1993-04-01,45.0,Test,Actual
1993-05-01,41.0,Test,Actual
1993-06-01,55.0,Test,Actual
1993-07-01,57.0,Test,Actual
1993-08-01,54.0,Test,Actual
1993-09-01,46.0,Test,Actual
1993-10-01,52.0,Test,Actual
1993-11-01,48.0,Test,Actual
1993-12-01,77.0,Test,Actual
1994-01-01,30.0,Test,Actual
1994-02-01,35.0,Test,Actual
1994-03-01,42.0,Test,Actual
1994-04-01,48.0,Test,Actual
1994-05-01,44.0,Test,Actual
1994-06-01,45.0,Test,Actual
1994-07-01,46.15319948724262,Test,Actual
1994-08-01,47.21198162286158,Test,Actual
1994-09-01,46.0,Test,Actual
1994-10-01,51.0,Test,Actual
1994-11-01,63.0,Test,Actual
1994-12-01,84.0,Test,Actual
1995-01-01,30.0,Test,Actual
1995-02-01,39.0,Test,Actual
1995-03-01,45.0,Test,Actual
1995-04-01,52.0,Test,Actual
1995-05-01,28.0,Test,Actual
1995-06-01,40.0,Test,Actual
1995-07-01,62.0,Test,Actual
1991-01-01,85.58903984225427,Test,Arima_auto
1991-02-01,90.55107660183418,Test,Arima_auto
1991-03-01,81.95081235317384,Test,Arima_auto
1991-04-01,92.76530117604223,Test,Arima_auto
1991-05-01,80.88665809337917,Test,Arima_auto
1991-06-01,92.9373995369914,Test,Arima_auto
1991-07-01,81.37330447556586,Test,Arima_auto
1991-08-01,91.99546964735659,Test,Arima_auto
1991-09-01,82.59914066104396,Test,Arima_auto
1991-10-01,90.62502197623145,Test,Arima_auto
1991-11-01,84.00535678774231,Test,Arima_auto
1991-12-01,89.26416343077025,Test,Arima_auto
1992-01-01,85.26404825964654,Test,Arima_auto
1992-02-01,88.14384476314812,Test,Arima_auto
1992-03-01,86.22664035528801,Test,Arima_auto
1992-04-01,87.3450707210451,Test,Arima_auto
1992-05-01,86.86547791962344,Test,Arima_auto
1992-06-01,86.85521824894268,Test,Arima_auto
1992-07-01,87.22189194926486,Test,Arima_auto
1992-08-01,86.61413723580291,Test,Arima_auto
1992-09-01,87.36669028581305,Test,Arima_auto
1992-10-01,86.54685026763853,Test,Arima_auto
1992-11-01,87.37408049563138,Test,Arima_auto
1992-12-01,86.58347967557391,Test,Arima_auto
1993-01-01,87.30723620188255,Test,Arima_auto
1993-02-01,86.66894533216934,Test,Arima_auto
1993-03-01,87.21254266391053,Test,Arima_auto
1993-04-01,86.76555343596235,Test,Arima_auto
1993-05-01,87.11944614221018,Test,Arima_auto
1993-06-01,86.85136291778942,Test,Arima_auto
1993-07-01,87.0433046164241,Test,Arima_auto
1993-08-01,86.91659264058615,Test,Arima_auto
1993-09-01,86.98933883457848,Test,Arima_auto
1993-10-01,86.95960997954543,Test,Arima_auto
1993-11-01,86.95648398574207,Test,Arima_auto
1993-12-01,86.98339117388441,Test,Arima_auto
1994-01-01,86.94052221320902,Test,Arima_auto
1994-02-01,86.99284457380965,Test,Arima_auto
1994-03-01,86.93629132398549,Test,Arima_auto
1994-04-01,86.99305515343237,Test,Arima_auto
1994-05-01,86.9390208718198,Test,Arima_auto
1994-06-01,86.98832188858188,Test,Arima_auto
1994-07-01,86.944973763222,Test,Arima_auto
1994-08-01,86.98178264855184,Test,Arima_auto
1994-09-01,86.95160812844533,Test,Arima_auto
1994-10-01,86.9754159235391,Test,Arima_auto
1994-11-01,86.95745647442236,Test,Arima_auto
1994-12-01,86.97024233149752,Test,Arima_auto
1995-01-01,86.96187563884716,Test,Arima_auto
1995-02-01,86.966597332824,Test,Arima_auto
1995-03-01,86.96477140865711,Test,Arima_auto
1995-04-01,86.96439456868448,Test,Arima_auto
1995-05-01,86.96635733181793,Test,Arima_auto
1995-06-01,86.96333865961277,Test,Arima_auto
1995-07-01,86.96697341292325,Test,Arima_auto
